22/12/2021 08:22:06 a. m.	Este registro contiene información acerca de la operación de importación de esquema en el proyecto 'dbFPT' del equipo 'LAPTOP-C4L35GB0' por el usuario 'oscar'.
22/12/2021 08:22:07 a. m.	Se inició la importación del esquema de la base de datos.
22/12/2021 08:22:12 a. m.	Recopilando credenciales de la base de datos
22/12/2021 08:22:12 a. m.	Recopilando opciones de base de datos
22/12/2021 08:22:12 a. m.	Recopilando la opción de configuración de ámbito de la base de datos genérica
22/12/2021 08:22:12 a. m.	Recopilando usuarios
22/12/2021 08:22:12 a. m.	Recopilando roles
22/12/2021 08:22:12 a. m.	Recopilando roles de aplicación
22/12/2021 08:22:12 a. m.	Recopilando pertenencias a roles
22/12/2021 08:22:12 a. m.	Recopilando grupos de archivos
22/12/2021 08:22:12 a. m.	Recopilando catálogos de texto completo
22/12/2021 08:22:12 a. m.	Recopilando ensamblados
22/12/2021 08:22:12 a. m.	Recopilando certificados
22/12/2021 08:22:12 a. m.	Recopilando claves asimétricas
22/12/2021 08:22:12 a. m.	Recopilando claves simétricas
22/12/2021 08:22:12 a. m.	Recopilando claves simétricas cifradas
22/12/2021 08:22:12 a. m.	Recopilando esquemas
22/12/2021 08:22:13 a. m.	Recopilando colecciones de esquemas XML
22/12/2021 08:22:13 a. m.	Recopilando tipos de datos definidos por el usuario
22/12/2021 08:22:13 a. m.	Recopilando tipos definidos por el usuario
22/12/2021 08:22:13 a. m.	Recopilando tipos de tabla
22/12/2021 08:22:13 a. m.	Recopilando claves únicas para tipos de tabla
22/12/2021 08:22:13 a. m.	Recopilando claves principales para tipos de tabla
22/12/2021 08:22:13 a. m.	Recopilando índices para tipos de tablas
22/12/2021 08:22:13 a. m.	Recopilando restricciones CHECK para tipos de tabla
22/12/2021 08:22:13 a. m.	Recopilando restricciones DEFAULT para tipos de tabla
22/12/2021 08:22:13 a. m.	Recopilando funciones de partición
22/12/2021 08:22:13 a. m.	Recopilando esquemas de partición
22/12/2021 08:22:13 a. m.	Recopilando funciones
22/12/2021 08:22:13 a. m.	Recopilando funciones cifradas
22/12/2021 08:22:13 a. m.	Recopilando agregados
22/12/2021 08:22:13 a. m.	Recopilando procedimientos
22/12/2021 08:22:13 a. m.	Recopilando procedimientos cifrados
22/12/2021 08:22:13 a. m.	Recopilando tablas
22/12/2021 08:22:13 a. m.	Recopilando claves principales
22/12/2021 08:22:13 a. m.	Recopilando restricciones UNIQUE
22/12/2021 08:22:13 a. m.	Recopilando claves externas
22/12/2021 08:22:13 a. m.	Recopilando restricciones DEFAULT
22/12/2021 08:22:13 a. m.	Recopilando restricciones CHECK
22/12/2021 08:22:13 a. m.	Recopilando vistas
22/12/2021 08:22:13 a. m.	Recopilando vistas cifradas
22/12/2021 08:22:13 a. m.	Recopilando índices
22/12/2021 08:22:13 a. m.	Recopilando estadísticas
22/12/2021 08:22:13 a. m.	Recopilando listas de palabras irrelevantes de índices de texto completo
22/12/2021 08:22:13 a. m.	Recopilando listas de propiedades de búsqueda
22/12/2021 08:22:13 a. m.	Recopilando propiedades de búsqueda
22/12/2021 08:22:13 a. m.	Recopilando índices de texto completo
22/12/2021 08:22:13 a. m.	Recopilando índices de almacenamiento de columnas
22/12/2021 08:22:13 a. m.	Recopilando índices espaciales
22/12/2021 08:22:13 a. m.	Recopilando índices XML
22/12/2021 08:22:13 a. m.	Recopilando índices XML selectivos
22/12/2021 08:22:13 a. m.	Recopilando desencadenadores cifrados
22/12/2021 08:22:13 a. m.	Recopilando desencadenadores
22/12/2021 08:22:13 a. m.	Recopilando DDL triggers cifrados y de CLR
22/12/2021 08:22:13 a. m.	Recopilando DDL triggers
22/12/2021 08:22:13 a. m.	Creación de la restricción perimetral en curso
22/12/2021 08:22:13 a. m.	Recopilando sinónimos
22/12/2021 08:22:13 a. m.	Recopilando valores predeterminados
22/12/2021 08:22:13 a. m.	Recopilando enlaces UDDT de restricción de datos
22/12/2021 08:22:13 a. m.	Recopilando reglas
22/12/2021 08:22:13 a. m.	Recopilando enlaces UDDT de restricción de datos
22/12/2021 08:22:13 a. m.	Recopilando tipos de mensaje
22/12/2021 08:22:13 a. m.	Recopilando colas
22/12/2021 08:22:13 a. m.	Recopilando contratos
22/12/2021 08:22:13 a. m.	Recopilando servicios
22/12/2021 08:22:13 a. m.	Recopilando notificaciones de eventos
22/12/2021 08:22:13 a. m.	Recopilando enlaces de servicio remoto
22/12/2021 08:22:13 a. m.	Recopilando prioridades de Broker
22/12/2021 08:22:13 a. m.	Recopilando firmas
22/12/2021 08:22:13 a. m.	Recopilando opciones de compresión de datos
22/12/2021 08:22:13 a. m.	Recopilando tipos de secuencia
22/12/2021 08:22:13 a. m.	Recopilando directivas de seguridad
22/12/2021 08:22:13 a. m.	Recopilar claves de cifrado de columna
22/12/2021 08:22:13 a. m.	Recopilando claves maestras de columna
22/12/2021 08:22:13 a. m.	Recopilando orígenes de datos externos
22/12/2021 08:22:13 a. m.	Recopilando formatos de archivo externos
22/12/2021 08:22:13 a. m.	Recopilando tablas externas
